2020-09-14,14:15:13.486,29.12,53.32,472,10
2020-09-14,14:29:18.475,28.96,53.44,442,6
2020-09-14,14:43:22.943,29.26,53.81,442,6
2020-09-14,14:57:27.936,29.57,54.05,464,9
2020-09-14,15:11:32.409,29.87,54.13,454,8
2020-09-14,15:25:36.877,29.67,53.86,452,7
2020-09-14,15:39:41.874,29.98,51.57,461,9
2020-09-14,15:53:46.351,29.98,52.45,455,8
2020-09-14,16:07:51.344,30.04,52.85,441,6
2020-09-14,16:21:55.821,29.98,53.44,435,5
2020-09-14,16:36:00.301,30.22,53.51,446,7
2020-09-14,16:50:04.778,30.24,52.92,455,8
2020-09-14,17:04:09.779,30.49,53.58,441,6
2020-09-14,17:18:14.260,30.49,53.78,448,7
2020-09-14,17:32:18.741,30.38,54.37,456,8
2020-09-14,17:46:23.218,30.54,54.47,451,7
2020-09-14,18:00:27.699,30.34,54.17,442,6
2020-09-14,18:14:32.176,30.17,54.39,436,5
2020-09-14,18:28:37.177,29.97,53.74,456,8
2020-09-14,18:42:41.650,30.42,53.49,425,3
2020-09-14,18:56:46.126,29.94,53.44,441,6
2020-09-14,19:10:50.607,29.94,54.43,436,5
2020-09-14,19:24:55.075,30.17,53.81,460,9
2020-09-14,19:39:00.081,29.61,54.35,470,10
2020-09-14,19:53:04.554,28.85,54.63,445,6
2020-09-14,20:07:09.018,29.00,56.10,432,4
2020-09-14,20:21:13.999,27.99,57.01,462,9
2020-09-14,20:35:18.975,28.30,57.18,491,13
2020-09-14,20:49:23.436,28.03,57.40,475,11
2020-09-14,21:03:28.424,28.03,57.30,496,14
2020-09-14,21:17:33.408,27.57,58.84,493,14
2020-09-14,21:31:38.397,27.51,60.03,460,9
2020-09-14,21:45:43.377,26.87,61.60,478,11
2020-09-14,21:59:48.357,27.03,61.67,517,17
2020-09-14,22:13:53.341,27.72,62.37,530,19
2020-09-14,22:27:57.801,26.84,62.39,508,16
2020-09-14,22:42:02.785,26.76,62.79,451,7
2020-09-14,22:56:07.764,27.17,62.82,486,13
2020-09-14,23:10:12.742,26.05,63.97,562,24
2020-09-14,23:24:17.735,28.14,58.16,815,63
2020-09-14,23:38:22.220,28.85,57.29,986,89
2020-09-14,23:52:26.725,28.68,56.82,1031,96
2020-09-15,00:06:31.771,29.15,56.48,1013,93
2020-09-15,00:20:36.305,28.98,56.50,1103,107
2020-09-15,00:34:40.843,28.98,56.30,1116,109
2020-09-15,00:48:45.361,28.96,56.80,983,88
2020-09-15,01:02:49.863,29.05,56.21,981,88
2020-09-15,01:16:54.880,29.06,56.40,885,73
2020-09-15,01:30:59.369,29.21,56.37,890,74
2020-09-15,01:45:03.867,29.30,56.27,855,69
2020-09-15,01:59:08.360,28.96,56.21,832,65
2020-09-15,02:13:13.418,29.42,56.05,1465,162
2020-09-15,02:27:17.989,29.23,56.08,1161,115
2020-09-15,02:41:22.511,28.83,56.04,969,86
2020-09-15,02:55:27.013,28.98,55.91,969,86
2020-09-15,03:09:31.551,28.73,55.64,1565,177
2020-09-15,03:23:36.122,29.09,55.49,1093,105
2020-09-15,03:37:41.164,29.18,55.49,892,74
2020-09-15,03:51:45.657,28.44,55.77,826,64
2020-09-15,04:05:50.151,28.43,55.57,749,53
2020-09-15,04:19:55.165,29.05,55.41,741,51
2020-09-15,04:33:59.657,28.61,55.24,696,45
2020-09-15,04:48:04.179,28.43,55.27,1982,241
2020-09-15,05:02:08.742,28.66,54.95,1207,122
2020-09-15,05:16:13.789,28.74,54.95,927,80
2020-09-15,05:30:18.315,28.59,55.18,2011,245
2020-09-15,05:44:22.878,28.56,54.97,1609,184
2020-09-15,05:58:27.441,28.25,54.61,1465,162
2020-09-15,06:12:32.503,28.76,54.55,951,83
2020-09-15,06:26:36.988,28.73,54.46,786,58
2020-09-15,06:40:41.998,28.27,54.41,696,45
2020-09-15,06:54:46.540,28.33,54.31,1430,156
2020-09-15,07:08:51.079,28.46,54.58,911,77
2020-09-15,07:22:56.088,28.46,54.48,916,78
2020-09-15,07:37:00.569,28.19,54.51,839,66
2020-09-15,07:51:05.574,28.07,54.44,751,53
2020-09-15,08:05:10.059,28.40,54.38,666,40
2020-09-15,08:19:14.544,28.39,54.19,639,36
2020-09-15,08:33:19.546,28.30,54.02,633,35
2020-09-15,08:47:24.031,28.27,53.62,592,29
2020-09-15,09:01:29.036,28.41,53.50,535,20
2020-09-15,09:15:33.521,28.39,53.69,501,15
2020-09-15,09:29:38.526,28.12,53.75,538,21
2020-09-15,09:43:43.532,28.03,53.75,565,25
2020-09-15,09:57:48.017,28.25,53.62,538,21
2020-09-15,10:11:53.018,28.56,53.59,501,15
2020-09-15,10:25:57.503,28.62,53.67,526,19
2020-09-15,10:40:02.509,28.39,53.79,506,16
2020-09-15,10:54:06.990,28.54,53.59,495,14
2020-09-15,11:08:11.463,28.55,53.59,544,21
2020-09-15,11:22:16.464,27.85,53.77,480,12
2020-09-15,11:36:20.936,28.80,53.47,456,8
2020-09-15,11:50:25.930,28.93,53.54,477,11
2020-09-15,12:04:30.402,28.78,53.57,472,10
